Timestamp;Server;Groups;PingStatus;Latency;Jitter;Loss;Port53;Port853;Version;Recursion;EDNS;Cookie;DNSSEC;DoH;TLS
2026-01-31 23:50:18;192.203.230.10;ROOT_SERVERS;OK;13.561;2.266;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:50:42;198.41.0.4;ROOT_SERVERS;SLOW;157.853;1.087;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:50:52;208.67.220.220;OPENDNS;OK;27.565;2.997;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 23:51:01;8.8.4.4;GOOGLE;OK;25.506;1.723;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 23:51:13;1.1.1.1;CLOUDFLARE;OK;14.299;2.215;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 23:51:39;198.97.190.53;ROOT_SERVERS;OK;52.689;3.568;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:52:03;192.36.148.17;ROOT_SERVERS;SLOW;178.426;2.285;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:52:12;9.9.9.9;QUAD9;OK;11.223;1.970;0;OPEN;OPEN;REVEALED;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 23:52:43;192.112.36.4;ROOT_SERVERS;DOWN;0;0;100;OPEN;CLOSED;HIDDEN;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:52:53;8.8.8.8;GOOGLE;OK;34.992;2.984;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 23:53:17;192.58.128.30;ROOT_SERVERS;OK;150.389;0.408;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:53:27;199.9.14.201;ROOT_SERVERS;SLOW;177.293;2.721;0;OPEN;OPEN;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;OK
2026-01-31 23:53:55;193.0.14.129;ROOT_SERVERS;SLOW;219.683;0.568;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:54:24;192.5.5.241;ROOT_SERVERS;OK;11.041;3.004;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:54:33;208.67.222.222;OPENDNS;OK;28.782;0.675;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 23:54:56;202.12.27.33;ROOT_SERVERS;OK;41.057;2.464;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:56:36;199.7.83.42;ROOT_SERVERS;DOWN;0;0;100;CLOSED;CLOSED;HIDDEN;UNKNOWN;UNSUPP;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:57:03;199.7.91.13;ROOT_SERVERS;OK;149.763;2.706;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 23:57:14;1.0.0.1;CLOUDFLARE;OK;16.285;2.690;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 23:57:23;149.112.112.112;QUAD9;OK;13.617;3.236;0;OPEN;OPEN;REVEALED;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 23:57:50;192.33.4.12;ROOT_SERVERS;OK;135.486;1.315;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
